Date (DD/MM/YYYY),NAV
08/06/2012,9.6654
11/06/2012,9.7019
12/06/2012,9.6887
13/06/2012,9.8041
14/06/2012,9.8137
15/06/2012,9.6959
18/06/2012,9.8556
19/06/2012,9.6981
20/06/2012,9.7726
21/06/2012,9.8038
22/06/2012,9.8865
25/06/2012,9.8588
26/06/2012,9.8004
27/06/2012,9.8114
28/06/2012,9.8507
29/06/2012,9.8734
02/07/2012,10.1181
03/07/2012,10.1162
04/07/2012,10.1323
05/07/2012,10.1639
06/07/2012,10.2151
09/07/2012,10.1936
10/07/2012,10.1149
11/07/2012,10.2480
12/07/2012,10.1724
13/07/2012,10.0390
16/07/2012,10.0234
17/07/2012,9.9698
18/07/2012,9.9617
19/07/2012,10.0103
20/07/2012,10.0607
23/07/2012,9.9897
24/07/2012,9.8242
25/07/2012,9.8455
26/07/2012,9.8091
27/07/2012,9.6856
30/07/2012,9.7901
31/07/2012,9.9786
01/08/2012,10.0313
02/08/2012,10.0541
03/08/2012,10.0296
06/08/2012,10.0056
07/08/2012,10.1324
08/08/2012,10.2382
09/08/2012,10.2402
10/08/2012,10.2135
13/08/2012,10.2100
14/08/2012,10.2595
16/08/2012,10.3280
17/08/2012,10.2962
21/08/2012,10.3024
24/08/2012,10.3933
27/08/2012,10.3371
28/08/2012,10.2683
29/08/2012,10.2394
30/08/2012,10.1512
31/08/2012,10.2004
03/09/2012,10.0922
04/09/2012,10.0830
05/09/2012,10.1230
06/09/2012,10.0313
07/09/2012,10.0573
10/09/2012,10.2467
11/09/2012,10.2836
12/09/2012,10.3321
13/09/2012,10.4089
14/09/2012,10.4175
17/09/2012,10.6917
18/09/2012,10.7535
20/09/2012,10.7353
21/09/2012,10.6473
24/09/2012,10.9055
25/09/2012,10.8671
26/09/2012,10.8742
27/09/2012,10.8561
28/09/2012,10.8330
01/10/2012,10.9379
03/10/2012,10.9679
04/10/2012,10.9906
05/10/2012,11.0971
08/10/2012,11.0221
09/10/2012,10.8854
10/10/2012,10.9398
11/10/2012,10.8403
12/10/2012,10.9444
15/10/2012,10.8854
16/10/2012,10.9053
17/10/2012,10.8288
18/10/2012,10.8505
19/10/2012,10.9627
22/10/2012,10.8983
23/10/2012,10.9607
25/10/2012,10.9118
29/10/2012,10.8573
30/10/2012,10.8595
31/10/2012,10.7307
01/11/2012,10.7724
02/11/2012,10.8286
05/11/2012,10.9285
06/11/2012,10.9405
07/11/2012,10.9771
08/11/2012,11.0413
09/11/2012,11.0017
12/11/2012,10.9051
15/11/2012,10.8992
16/11/2012,10.7962
19/11/2012,10.6883
20/11/2012,10.6837
21/11/2012,10.6818
22/11/2012,10.7654
23/11/2012,10.7903
26/11/2012,10.7874
27/11/2012,10.8051
29/11/2012,10.9789
30/11/2012,11.1625
03/12/2012,11.2605
04/12/2012,11.2446
05/12/2012,11.2793
06/12/2012,11.3005
07/12/2012,11.3575
10/12/2012,11.3128
11/12/2012,11.3125
12/12/2012,11.2919
13/12/2012,11.2729
14/12/2012,11.2031
17/12/2012,11.2559
18/12/2012,11.2147
19/12/2012,11.2887
20/12/2012,11.3521
21/12/2012,11.3274
24/12/2012,11.1973
26/12/2012,11.2165
27/12/2012,11.3096
28/12/2012,11.2416
31/12/2012,11.3137
01/01/2013,11.3072
02/01/2013,11.3943
03/01/2013,11.4734
04/01/2013,11.5032
07/01/2013,11.5148
08/01/2013,11.4603
09/01/2013,11.4830
10/01/2013,11.4247
11/01/2013,11.4170
14/01/2013,11.3874
15/01/2013,11.5236
16/01/2013,11.5849
17/01/2013,11.4820
18/01/2013,11.5531
21/01/2013,11.5968
22/01/2013,11.6319
23/01/2013,11.5674
24/01/2013,11.5803
28/01/2013,11.6194
29/01/2013,11.6175
30/01/2013,11.5692
31/01/2013,11.5797
01/02/2013,11.5395
04/02/2013,11.4684
05/02/2013,11.4426
06/02/2013,11.3871
07/02/2013,11.3840
08/02/2013,11.3446
11/02/2013,11.2798
12/02/2013,11.2715
13/02/2013,11.3152
14/02/2013,11.3289
15/02/2013,11.2617
18/02/2013,11.2468
22/02/2013,11.1777
25/02/2013,11.1791
26/02/2013,11.1041
27/02/2013,11.0378
28/02/2013,10.9257
01/03/2013,10.9167
04/03/2013,10.8896
05/03/2013,11.0519
06/03/2013,11.1167
07/03/2013,11.2018
