Date,NAV
04-Jun-16,18.4225
03-Jun-16,18.4184
02-Jun-16,18.3851
01-Jun-16,18.3698
31-May-16,18.4039
30-May-16,18.3871
29-May-16,18.4179
28-May-16,18.4138
27-May-16,18.4097
26-May-16,18.3743
25-May-16,18.3754
24-May-16,18.3861
23-May-16,18.3803
22-May-16,18.3760
21-May-16,18.3720
20-May-16,18.3679
19-May-16,18.3667
18-May-16,18.3750
17-May-16,18.3913
16-May-16,18.3746
15-May-16,18.3853
14-May-16,18.3813
13-May-16,18.3772
12-May-16,18.3710
11-May-16,18.3621
10-May-16,18.3663
09-May-16,18.3721
08-May-16,18.3267
07-May-16,18.3226
06-May-16,18.3185
05-May-16,18.3376
04-May-16,18.3325
03-May-16,18.3348
02-May-16,18.3217
01-May-16,18.3183
30-Apr-16,18.3141
29-Apr-16,18.3100
28-Apr-16,18.2819
27-Apr-16,18.2867
26-Apr-16,18.3006
25-Apr-16,18.2955
24-Apr-16,18.2799
23-Apr-16,18.2759
22-Apr-16,18.2718
21-Apr-16,18.3029
20-Apr-16,18.2947
19-Apr-16,18.3233
18-Apr-16,18.3192
17-Apr-16,18.3424
16-Apr-16,18.3384
15-Apr-16,18.3343
14-Apr-16,18.3302
13-Apr-16,18.3261
12-Apr-16,18.3059
11-Apr-16,18.2783
10-Apr-16,18.2964
09-Apr-16,18.2923
08-Apr-16,18.2882
07-Apr-16,18.2841
06-Apr-16,18.2285
05-Apr-16,18.2378
04-Apr-16,18.1575
03-Apr-16,18.0814
02-Apr-16,18.0773
01-Apr-16,18.0733
31-Mar-16,18.0689
30-Mar-16,18.0442
29-Mar-16,18.0295
28-Mar-16,18.0374
27-Mar-16,18.0429
26-Mar-16,18.0388
25-Mar-16,18.0348
24-Mar-16,18.0307
23-Mar-16,18.0267
22-Mar-16,18.0192
21-Mar-16,17.9979
20-Mar-16,17.9677
19-Mar-16,17.9636
18-Mar-16,17.9596
17-Mar-16,17.9050
16-Mar-16,17.8387
15-Mar-16,17.8401
14-Mar-16,17.8079
13-Mar-16,17.8067
12-Mar-16,17.8026
11-Mar-16,17.7986
10-Mar-16,17.7971
09-Mar-16,17.7861
08-Mar-16,17.7821
07-Mar-16,17.7570
06-Mar-16,17.7530
05-Mar-16,17.7489
04-Mar-16,17.7449
03-Mar-16,17.7429
02-Mar-16,17.7109
01-Mar-16,17.6984
29-Feb-16,17.6651
28-Feb-16,17.6031
27-Feb-16,17.5991
26-Feb-16,17.5951
25-Feb-16,17.5839
24-Feb-16,17.6295
23-Feb-16,17.6462
22-Feb-16,17.6827
21-Feb-16,17.6671
20-Feb-16,17.6631
19-Feb-16,17.6591
18-Feb-16,17.6551
17-Feb-16,17.6556
16-Feb-16,17.6602
15-Feb-16,17.6751
14-Feb-16,17.6817
13-Feb-16,17.6777
12-Feb-16,17.6737
11-Feb-16,17.6842
10-Feb-16,17.6681
09-Feb-16,17.6998
08-Feb-16,17.7080
07-Feb-16,17.6826
06-Feb-16,17.6786
05-Feb-16,17.6745
04-Feb-16,17.6895
03-Feb-16,17.6842
02-Feb-16,17.7162
01-Feb-16,17.7390
31-Jan-16,17.7307
30-Jan-16,17.7267
29-Jan-16,17.7227
28-Jan-16,17.7043
27-Jan-16,17.7134
26-Jan-16,17.7360
25-Jan-16,17.7320
24-Jan-16,17.7506
23-Jan-16,17.7466
22-Jan-16,17.7426
21-Jan-16,17.7208
20-Jan-16,17.7095
19-Jan-16,17.7093
18-Jan-16,17.7068
17-Jan-16,17.6832
16-Jan-16,17.6792
15-Jan-16,17.6752
14-Jan-16,17.7030
13-Jan-16,17.7169
12-Jan-16,17.7114
11-Jan-16,17.7162
10-Jan-16,17.6896
09-Jan-16,17.6856
08-Jan-16,17.6816
07-Jan-16,17.6643
06-Jan-16,17.6724
05-Jan-16,17.6680
04-Jan-16,17.6689
03-Jan-16,17.6688
02-Jan-16,17.6648
01-Jan-16,17.6608
31-Dec-15,17.6231
30-Dec-15,17.6270
29-Dec-15,17.6064
28-Dec-15,17.5994
27-Dec-15,17.6006
26-Dec-15,17.5967
25-Dec-15,17.5928
24-Dec-15,17.5890
23-Dec-15,17.5851
22-Dec-15,17.5641
21-Dec-15,17.5989
20-Dec-15,17.6019
19-Dec-15,17.5979
18-Dec-15,17.5940
17-Dec-15,17.5850
16-Dec-15,17.5709
15-Dec-15,17.5606
14-Dec-15,17.5864
13-Dec-15,17.5872
12-Dec-15,17.5832
11-Dec-15,17.5792
10-Dec-15,17.5754
09-Dec-15,17.5830
08-Dec-15,17.6086
07-Dec-15,17.6158
06-Dec-15,17.6226
05-Dec-15,17.6187
04-Dec-15,17.6147
03-Dec-15,17.6328
02-Dec-15,17.6053
01-Dec-15,17.6009
30-Nov-15,17.5882
29-Nov-15,17.6021
28-Nov-15,17.5981
27-Nov-15,17.5942
26-Nov-15,17.5970
25-Nov-15,17.6039
24-Nov-15,17.5999
23-Nov-15,17.5968
22-Nov-15,17.6050
21-Nov-15,17.6010
20-Nov-15,17.5970
19-Nov-15,17.5919
18-Nov-15,17.5741
17-Nov-15,17.5777
16-Nov-15,17.5984
15-Nov-15,17.5925
14-Nov-15,17.5885
13-Nov-15,17.5845
12-Nov-15,17.5477
11-Nov-15,17.5438
10-Nov-15,17.5398
09-Nov-15,17.5254
08-Nov-15,17.5504
07-Nov-15,17.5465
06-Nov-15,17.5425
05-Nov-15,17.5571
04-Nov-15,17.5601
03-Nov-15,17.5477
02-Nov-15,17.5837
01-Nov-15,17.5867
31-Oct-15,17.5827
30-Oct-15,17.5788
29-Oct-15,17.5665
28-Oct-15,17.5515
27-Oct-15,17.5566
26-Oct-15,17.5743
25-Oct-15,17.5750
24-Oct-15,17.5711
23-Oct-15,17.5671
22-Oct-15,17.5510
21-Oct-15,17.5471
20-Oct-15,17.5463
19-Oct-15,17.5435
18-Oct-15,17.5159
17-Oct-15,17.5120
16-Oct-15,17.5080
15-Oct-15,17.4968
14-Oct-15,17.4746
13-Oct-15,17.4954
12-Oct-15,17.4978
11-Oct-15,17.4839
10-Oct-15,17.4799
09-Oct-15,17.4760
08-Oct-15,17.4586
07-Oct-15,17.4358
06-Oct-15,17.4490
05-Oct-15,17.4520
04-Oct-15,17.4240
03-Oct-15,17.4200
02-Oct-15,17.4161
01-Oct-15,17.4121
30-Sep-15,17.4369
29-Sep-15,17.3936
28-Sep-15,17.2851
27-Sep-15,17.2653
26-Sep-15,17.2614
25-Sep-15,17.2574
24-Sep-15,17.2535
23-Sep-15,17.2244
22-Sep-15,17.2250
21-Sep-15,17.2389
19-Sep-15,17.2486
18-Sep-15,17.2446
17-Sep-15,17.2171
16-Sep-15,17.2132
15-Sep-15,17.2330
14-Sep-15,17.2116
12-Sep-15,17.1979
11-Sep-15,17.1940
10-Sep-15,17.1618
09-Sep-15,17.2086
08-Sep-15,17.1876
07-Sep-15,17.1858
05-Sep-15,17.1578
04-Sep-15,17.1539
03-Sep-15,17.1774
02-Sep-15,17.2344
01-Sep-15,17.2428
31-Aug-15,17.1969
29-Aug-15,17.1842
28-Aug-15,17.1803
27-Aug-15,17.1692
26-Aug-15,17.1345
25-Aug-15,17.1372
24-Aug-15,17.1620
22-Aug-15,17.1360
21-Aug-15,17.1321
20-Aug-15,17.1463
19-Aug-15,17.1235
18-Aug-15,17.1322
17-Aug-15,17.1282
15-Aug-15,17.1324
14-Aug-15,17.1285
13-Aug-15,17.1169
12-Aug-15,17.0668
11-Aug-15,17.0641
10-Aug-15,17.0595
08-Aug-15,17.0351
07-Aug-15,17.0312
06-Aug-15,17.0245
05-Aug-15,17.0361
04-Aug-15,17.0385
03-Aug-15,17.0407
01-Aug-15,17.0181
31-Jul-15,17.0141
30-Jul-15,16.9974
29-Jul-15,16.9916
28-Jul-15,16.9955
27-Jul-15,16.9691
25-Jul-15,16.9461
24-Jul-15,16.9422
23-Jul-15,16.9484
22-Jul-15,16.9259
21-Jul-15,16.9274
20-Jul-15,16.9181
18-Jul-15,16.9039
17-Jul-15,16.9000
16-Jul-15,16.8727
15-Jul-15,16.8640
14-Jul-15,16.8333
13-Jul-15,16.8572
11-Jul-15,16.8744
10-Jul-15,16.8705
09-Jul-15,16.8571
08-Jul-15,16.8773
07-Jul-15,16.8581
06-Jul-15,16.8436
04-Jul-15,16.8364
03-Jul-15,16.8326
02-Jul-15,16.8313
01-Jul-15,16.7942
30-Jun-15,16.7538
29-Jun-15,16.7144
27-Jun-15,16.7618
26-Jun-15,16.7579
25-Jun-15,16.7839
24-Jun-15,16.8094
23-Jun-15,16.8079
22-Jun-15,16.8496
20-Jun-15,16.8229
19-Jun-15,16.8190
18-Jun-15,16.7927
17-Jun-15,16.7284
16-Jun-15,16.7313
15-Jun-15,16.7533
13-Jun-15,16.7163
12-Jun-15,16.7124
11-Jun-15,16.7080
10-Jun-15,16.7258
09-Jun-15,16.7498
08-Jun-15,16.7332
06-Jun-15,16.7239
05-Jun-15,16.7201
04-Jun-15,16.7060
03-Jun-15,16.7341
02-Jun-15,16.7773
01-Jun-15,16.8451
30-May-15,16.8035
29-May-15,16.7997
28-May-15,16.7876
27-May-15,16.7638
26-May-15,16.7662
25-May-15,16.7678
23-May-15,16.7673
22-May-15,16.7635
21-May-15,16.7524
20-May-15,16.7493
19-May-15,16.7181
18-May-15,16.6710
16-May-15,16.6648
15-May-15,16.6610
14-May-15,16.6473
13-May-15,16.6120
12-May-15,16.6362
11-May-15,16.6343
09-May-15,16.6122
08-May-15,16.6084
07-May-15,16.6005
06-May-15,16.6534
05-May-15,16.6934
04-May-15,16.7092
01-May-15,16.6979
30-Apr-15,16.6941
29-Apr-15,16.6867
28-Apr-15,16.6855
27-Apr-15,16.7038
25-Apr-15,16.7251
24-Apr-15,16.7212
23-Apr-15,16.7367
22-Apr-15,16.6951
21-Apr-15,16.6946
20-Apr-15,16.6920
18-Apr-15,16.6459
17-Apr-15,16.6421
16-Apr-15,16.6908
15-Apr-15,16.6620
14-Apr-15,16.6586
13-Apr-15,16.6548
10-Apr-15,16.6705
09-Apr-15,16.6821
08-Apr-15,16.6668
07-Apr-15,16.6600
06-Apr-15,16.7008
01-Apr-15,16.6464
31-Mar-15,16.6421
30-Mar-15,16.6395
28-Mar-15,16.5750
27-Mar-15,16.5712
26-Mar-15,16.5557
25-Mar-15,16.5612
24-Mar-15,16.5793
23-Mar-15,16.5795
21-Mar-15,16.5686
20-Mar-15,16.5648
19-Mar-15,16.5646
18-Mar-15,16.5171
17-Mar-15,16.5152
16-Mar-15,16.5292
14-Mar-15,16.5384
13-Mar-15,16.5345
12-Mar-15,16.5447
11-Mar-15,16.5503
10-Mar-15,16.5568
09-Mar-15,16.5724
07-Mar-15,16.5923
05-Mar-15,16.5850
04-Mar-15,16.5712
03-Mar-15,16.5325
02-Mar-15,16.5490
28-Feb-15,16.5512
27-Feb-15,16.5474
26-Feb-15,16.5234
25-Feb-15,16.5077
24-Feb-15,16.4789
23-Feb-15,16.4710
21-Feb-15,16.4644
20-Feb-15,16.4606
18-Feb-15,16.4367
16-Feb-15,16.4333
14-Feb-15,16.4586
13-Feb-15,16.4548
12-Feb-15,16.4289
11-Feb-15,16.4045
10-Feb-15,16.3994
09-Feb-15,16.4201
07-Feb-15,16.4449
06-Feb-15,16.4411
05-Feb-15,16.4351
04-Feb-15,16.4471
03-Feb-15,16.4831
02-Feb-15,16.4740
31-Jan-15,16.4730
30-Jan-15,16.4692
29-Jan-15,16.4603
28-Jan-15,16.4737
27-Jan-15,16.4484
24-Jan-15,16.4359
23-Jan-15,16.4321
22-Jan-15,16.4353
21-Jan-15,16.4038
20-Jan-15,16.3988
19-Jan-15,16.4380
17-Jan-15,16.4247
16-Jan-15,16.4209
15-Jan-15,16.3099
14-Jan-15,16.2588
13-Jan-15,16.2368
12-Jan-15,16.2066
10-Jan-15,16.1433
09-Jan-15,16.1395
08-Jan-15,16.1155
07-Jan-15,16.1345
06-Jan-15,16.1203
05-Jan-15,16.1458
03-Jan-15,16.1313
02-Jan-15,16.1275
01-Jan-15,16.1519
31-Dec-14,16.1310
30-Dec-14,16.1144
29-Dec-14,16.0816
27-Dec-14,16.0768
26-Dec-14,16.0730
24-Dec-14,16.0833
23-Dec-14,16.0364
22-Dec-14,16.0361
20-Dec-14,16.0549
19-Dec-14,16.0511
18-Dec-14,16.0442
17-Dec-14,16.0228
16-Dec-14,16.0229
15-Dec-14,16.1226
13-Dec-14,16.1353
12-Dec-14,16.1315
11-Dec-14,16.1273
10-Dec-14,16.0755
09-Dec-14,16.1247
08-Dec-14,16.1036
06-Dec-14,16.0937
05-Dec-14,16.0900
04-Dec-14,16.0717
03-Dec-14,16.0760
02-Dec-14,16.0797
01-Dec-14,15.9825
29-Nov-14,15.9567
28-Nov-14,15.9530
27-Nov-14,15.9203
26-Nov-14,15.9111
25-Nov-14,15.9372
24-Nov-14,15.9404
22-Nov-14,15.9426
21-Nov-14,15.9388
20-Nov-14,15.9184
19-Nov-14,15.8898
18-Nov-14,15.8792
17-Nov-14,15.8904
15-Nov-14,15.8462
14-Nov-14,15.8425
13-Nov-14,15.8600
12-Nov-14,15.8733
11-Nov-14,15.8553
10-Nov-14,15.8369
08-Nov-14,15.8386
07-Nov-14,15.8348
05-Nov-14,15.7924
03-Nov-14,15.7256
01-Nov-14,15.6838
31-Oct-14,15.6801
30-Oct-14,15.6491
29-Oct-14,15.6221
28-Oct-14,15.6290
27-Oct-14,15.6128
25-Oct-14,15.5982
22-Oct-14,15.5874
21-Oct-14,15.5976
20-Oct-14,15.5737
18-Oct-14,15.5320
17-Oct-14,15.5283
16-Oct-14,15.5572
14-Oct-14,15.5095
13-Oct-14,15.4811
11-Oct-14,15.4470
10-Oct-14,15.4433
09-Oct-14,15.4176
08-Oct-14,15.4400
07-Oct-14,15.4293
04-Oct-14,15.3891
01-Oct-14,15.3781
30-Sep-14,15.3537
29-Sep-14,15.3532
27-Sep-14,15.3550
26-Sep-14,15.3513
25-Sep-14,15.2968
24-Sep-14,15.3336
23-Sep-14,15.3290
22-Sep-14,15.3245
20-Sep-14,15.2496
19-Sep-14,15.2459
18-Sep-14,15.2274
17-Sep-14,15.2466
16-Sep-14,15.2345
15-Sep-14,15.2245
13-Sep-14,15.2165
12-Sep-14,15.2128
11-Sep-14,15.2278
10-Sep-14,15.2067
09-Sep-14,15.1791
08-Sep-14,15.1772
06-Sep-14,15.1840
05-Sep-14,15.1804
04-Sep-14,15.1586
03-Sep-14,15.1697
02-Sep-14,15.1559
01-Sep-14,15.1538
30-Aug-14,15.1426
28-Aug-14,15.1355
27-Aug-14,15.1099
26-Aug-14,15.1039
25-Aug-14,15.1147
23-Aug-14,15.1168
22-Aug-14,15.1131
21-Aug-14,15.1131
20-Aug-14,15.1295
19-Aug-14,15.1069
16-Aug-14,15.0836
14-Aug-14,15.0765
13-Aug-14,15.0745
12-Aug-14,15.0467
11-Aug-14,15.0427
09-Aug-14,15.0360
08-Aug-14,15.0324
07-Aug-14,15.0225
06-Aug-14,15.0543
05-Aug-14,15.0643
04-Aug-14,15.0643
02-Aug-14,15.0795
01-Aug-14,15.0758
31-Jul-14,15.0325
30-Jul-14,15.0785
28-Jul-14,15.0724
26-Jul-14,15.0814
25-Jul-14,15.0778
24-Jul-14,15.0589
23-Jul-14,15.0532
22-Jul-14,15.0357
21-Jul-14,15.0208
19-Jul-14,15.0071
18-Jul-14,15.0036
17-Jul-14,14.9872
16-Jul-14,14.9809
