Date (MM/DD/YYYY),NAV
07/04/2018,10.3006
07/02/2018,10.2891
06/29/2018,10.2808
06/28/2018,10.2749
06/27/2018,10.2961
06/26/2018,10.3082
06/25/2018,10.3155
06/22/2018,10.3237
06/21/2018,10.3337
06/20/2018,10.3056
06/19/2018,10.2871
06/18/2018,10.2748
06/15/2018,10.2563
06/14/2018,10.2364
06/13/2018,10.2395
06/12/2018,10.2139
06/11/2018,10.2203
06/08/2018,10.2289
06/07/2018,10.1897
06/06/2018,10.2259
06/05/2018,10.2749
06/04/2018,10.2573
06/01/2018,10.2622
05/31/2018,10.2686
05/30/2018,10.3039
05/29/2018,10.2978
05/28/2018,10.3133
05/25/2018,10.2726
05/24/2018,10.2309
05/23/2018,10.2363
05/22/2018,10.2497
05/21/2018,10.241
05/18/2018,10.2439
05/17/2018,10.219
05/16/2018,10.2244
05/15/2018,10.2295
05/14/2018,10.2623
05/11/2018,10.3107
05/10/2018,10.3153
05/09/2018,10.3186
05/08/2018,10.3831
05/07/2018,10.3504
05/04/2018,10.2984
05/03/2018,10.2994
05/02/2018,10.295
04/27/2018,10.2792
04/26/2018,10.2687
04/25/2018,10.2802
04/24/2018,10.3095
04/23/2018,10.281
04/20/2018,10.2996
04/19/2018,10.3393
04/18/2018,10.42
04/17/2018,10.436
04/16/2018,10.4414
04/13/2018,10.4496
04/12/2018,10.4112
04/12/2018,10.4264
04/10/2018,10.4863
04/09/2018,10.5581
04/06/2018,10.5804
04/05/2018,10.605
04/04/2018,10.4991
04/03/2018,10.4705
03/31/2018,10.4232
03/28/2018,10.4184
03/27/2018,10.4334
03/26/2018,10.2743
03/23/2018,10.2898
03/22/2018,10.28
03/21/2018,10.2648
03/20/2018,10.2563
03/19/2018,10.2519
03/16/2018,10.2602
03/15/2018,10.2241
03/14/2018,10.1976
03/13/2018,10.1937
03/12/2018,10.2024
03/09/2018,10.1901
03/08/2018,10.1935
03/07/2018,10.1809
03/06/2018,10.1412
03/05/2018,10.1371
03/01/2018,10.1418
02/28/2018,10.1473
02/27/2018,10.1578
02/26/2018,10.1411
02/23/2018,10.1395
02/22/2018,10.1181
02/21/2018,10.1412
02/20/2018,10.1503
02/16/2018,10.1823
02/15/2018,10.1827
02/14/2018,10.2253
02/12/2018,10.2221
02/09/2018,10.2143
02/08/2018,10.2324
02/07/2018,10.1926
02/06/2018,10.1612
